#MarketObjectType,MarketObjectName
DiscountCurve,AUD|CAD|CHF|CLP|CNY|CZK|EUR|GBP|HKD|JPY|MXN|NOK|SEK|USD
YieldCurve,BENCHMARK-EUR|CAD-IN-USD|CHF-IN-USD|CZK-IN-EUR|CZK-IN-USD|EUR-IN-USD|FundingCurve|GBP-IN-USD|JPY-IN-USD|NOK-IN-USD|SEK-IN-USD|USD-IN-EUR
IndexCurve,AUD-AONIA|AUD-BBSW-3M|AUD-BBSW-6M|CAD-CORRA|CHF-SARON|CLP-CAMARA|CNY-REPOFIX-7D|CZK-PRIBOR-3M|EUR-EONIA|EUR-ESTER|EUR-EURIBOR-1M|EUR-EURIBOR-3M|EUR-EURIBOR-6M|GBP-LIBOR-3M|GBP-LIBOR-6M|GBP-SONIA|HKD-HIBOR-3M|HKD-HONIA|JPY-TONAR|MXN-TIIE-28D|NOK-NIBOR-3M|NOK-NIBOR-6M|SEK-SIOR|SEK-STIBOR-3M|USD-FedFunds|USD-LIBOR-1M|USD-LIBOR-3M|USD-LIBOR-6M|USD-SIFMA|USD-SOFR|USD-SOFR-3M
SwapIndexCurve,EUR-CMS-10Y|EUR-CMS-1Y|EUR-CMS-20Y|EUR-CMS-2Y|EUR-CMS-30Y|USD-CMS-2Y|USD-CMS-30Y|USD-CMS-LIBOR3M-1Y|USD-CMS-LIBOR3M-30Y|USD-CMS-SOFR-1Y|USD-CMS-SOFR-30Y
FXSpot,AUDUSD|EURCHF|EURCZK|EURJPY|EURNOK|EURSEK|EURUSD|GBPUSD|USDAUD|USDCAD|USDCHF|USDCLP|USDCNY|USDCZK|USDEUR|USDGBP|USDHKD|USDJPY|USDMXN|USDNOK|USDSEK
FXVol,EURCHF|EURCZK|EURJPY|EURNOK|EURSEK|EURUSD|GBPUSD|USDCAD|USDJPY|USDSEK
SwaptionVol,EUR|EUR-EURIBOR-1M|EUR-EURIBOR-3M|EUR-EURIBOR-6M|USD-LIBOR-3M|USD-SOFR
DefaultCurve,CPTY_C|FundingCurveAsCreditCurve|ISIN:DE000A3H2WP2|ISIN:IE00BH3SQ895|ISIN:IT0005177909|ISIN:US531229AR32|ISIN:US682189AS48|RED:007G93|SNRFOR|USD|XR14|RED:027A8A|SNRFOR|USD|XR14|RED:027D97|SNRFOR|USD|XR14|RED:028EFB|SNRFOR|USD|XR14|RED:03AB52|SNRFOR|USD|XR14|RED:058B87|SNRFOR|USD|XR14|RED:06DG91|SNRFOR|USD|XR14|RED:08CAD7|SNRFOR|USD|MR14|RED:08CAD7|SNRFOR|USD|XR14|RED:08EB67|SNRFOR|USD|XR14|RED:09C9BK|SNRFOR|USD|XR14|RED:09G725|SNRFOR|USD|XR14|RED:09IG96|SNRFOR|USD|XR14|RED:0A143H|SNRFOR|USD|XR14|RED:0A226X|SNRFOR|USD|XR14|RED:0C2002|SNRFOR|USD|XR14|RED:0C205P|SNRFOR|USD|XR14|RED:0C4291|SNRFOR|USD|XR14|RED:0C5448|SNRFOR|USD|XR14|RED:0D4278|SNRFOR|USD|XR14|RED:0E69A8|SNRFOR|USD|XR14|RED:0F8665|SNRFOR|USD|XR14|RED:0H8994|SNRFOR|USD|XR14|RED:138A48|SNRFOR|USD|XR14|RED:138CBK|SNRFOR|USD|XR14|RED:1B124A|SNRFOR|USD|XR14|RED:1C1134|SNRFOR|USD|XR14|RED:1C248K|SNRFOR|USD|XR14|RED:1E78AL|SNRFOR|USD|XR14|RED:1E99BR|SNRFOR|USD|XR14|RED:1F444H|SNRFOR|USD|XR14|RED:1F55D7|SNRFOR|USD|XR14|RED:1I99EM|SNRFOR|USD|XR14|RED:225DHN|SNRFOR|USD|XR14|RED:258DD6|SNRFOR|USD|XR14|RED:25A8AD|SNRFOR|USD|XR14|RED:26B72T|SNRFOR|USD|XR14|RED:26BA97|SNRFOR|USD|XR14|RED:27CA3F|SNRFOR|USD|XR14|RED:29EB75|SNRFOR|USD|XR14|RED:2BB75N|SNRFOR|USD|XR14|RED:2BB9F4|SNRFOR|USD|XR14|RED:2C033N|SNRFOR|USD|XR14|RED:2E6448|SNRFOR|USD|XR14|RED:2F664B|SNRFOR|USD|XR14|RED:2F68AQ|SNRFOR|USD|XR14|RED:2G85AI|SNRFOR|USD|XR14|RED:2H68GV|SNRFOR|USD|XR14|RED:2I6597|SNRFOR|USD|XR14|RED:2I65BYEG6_10Y|RED:2I65BYEG6_1Y|RED:2I65BYEG6_2Y|RED:2I65BYEG6_3Y|RED:2I65BYEG6_5Y|RED:2I65BYEG6_7Y|RED:36AGC5|SNRFOR|USD|XR14|RED:38BD8L|SNRFOR|USD|XR14|RED:39FF64|SNRFOR|USD|XR14|RED:3A7367|SNRFOR|USD|XR14|RED:3A749R|SNRFOR|USD|XR14|RED:3D177O|SNRFOR|USD|XR14|RED:3D233N|SNRFOR|USD|XR14|RED:3E56A5|SNRFOR|USD|XR14|RED:3H98A7|SNRFOR|USD|XR14|RED:46A844|SNRFOR|USD|XR14|RED:46A89Q|SNRFOR|USD|XR14|RED:47A77D|SNRFOR|USD|XR14|RED:47BD67|SNRFOR|USD|XR14|RED:49D954|SNRFOR|USD|XR14|RED:49EB20|SNRFOR|USD|XR14|RED:4A615A|SNRFOR|USD|XR14|RED:4BF976|SNRFOR|USD|XR14|RED:4DD9BH|SNRFOR|USD|XR14|RED:4E452A|SNRFOR|USD|XR14|RED:4E477P|SNRFOR|USD|XR14|RED:4E6837|SNRFOR|USD|XR14|RED:4I517N|SNRFOR|USD|XR14|RED:58CHB3|SNRFOR|USD|XR14|RED:59CEC7|SNRFOR|USD|XR14|RED:5A78DD|SNRFOR|USD|XR14|RED:5BBDDF|SNRFOR|USD|XR14|RED:5D8148|SNRFOR|USD|XR14|RED:5EA6BX|SNRFOR|USD|XR14|RED:5F07CP|SNRFOR|USD|XR14|RED:5F1148|SNRFOR|USD|XR14|RED:5H865C|SNRFOR|USD|XR14|RED:5I759F|SNRFOR|USD|XR14|RED:5J4466|SNRFOR|USD|XR14|RED:65339K|SNRFOR|USD|XR14|RED:669B27|SNRFOR|USD|XR14|RED:69AB75|SNRFOR|USD|XR14|RED:6A521L|SNRFOR|USD|XR14|RED:6B679I|SNRFOR|USD|XR14|RED:6BADC8|SNRFOR|USD|XR14|RED:6CCE9H|SNRFOR|USD|XR14|RED:6DB9EI|SNRFOR|USD|XR14|RED:6E9AAA|SNRFOR|USD|XR14|RED:6EC42L|SNRFOR|USD|XR14|RED:6F94BX|SNRFOR|USD|XR14|RED:6FE66B|SNRFOR|USD|XR14|RED:6FIB6J|SNRFOR|USD|XR14|RED:6I209O|SNRFOR|USD|XR14|RED:7B6989|SNRFOR|USD|XR14|RED:7B8752|SNRFOR|USD|XR14|RED:7B9DFM|SNRFOR|USD|XR14|RED:7BCB7P|SNRFOR|USD|XR14|RED:7BDHBK|SNRFOR|USD|XR14|RED:7C5259|SNRFOR|USD|XR14|RED:7FB89D|SNRFOR|USD|XR14|RED:7I8789|SNRFOR|USD|XR14|RED:897ECJ|SNRFOR|USD|XR14|RED:8A677C|SNRFOR|USD|XR14|RED:8AAG87|SNRFOR|USD|XR14|RED:8C67DF|SNRFOR|USD|XR14|RED:8C8BB5|SNRFOR|USD|XR14|RED:8F97DO|SNRFOR|USD|XR14|RED:8FD73G|SNRFOR|USD|XR14|RED:8FFFB8|SNRFOR|USD|XR14|RED:8GHDBF|SNRFOR|USD|XR14|RED:8HC878|SNRFOR|USD|XR14|RED:997F99|SNRFOR|USD|XR14|RED:9A2443|SNRFOR|USD|XR14|RED:9A456T|SNRFOR|USD|XR14|RED:9AAA4I|SNRFOR|USD|XR14|RED:9B579L|SNRFOR|USD|XR14|RED:9C58DM|SNRFOR|USD|XR14|RED:9C645J|SNRFOR|USD|XR14|RED:9F837C|SNRFOR|USD|XR14|RED:9F9652|SNRFOR|USD|XR14|RED:9FFD9C|SNRFOR|USD|XR14|RED:9J26DD|SNRFOR|USD|XR14|RED:GL6652|SNRFOR|USD|XR14|RED:UZDD52|SNRFOR|USD|XR14
CDSVol,RED:2I65BYEG6
BaseCorrelation,RED:2I65BYEG6_10Y
CapFloorVol,EUR-EONIA|EUR-EURIBOR-1M|EUR-EURIBOR-6M|GBP-LIBOR-6M|MXN-TIIE-28D|USD-FedFunds|USD-SOFR|USD-SOFR-3M
ZeroInflationCurve,AUCPI|EUHICPXT|UKRPI
YoYInflationCurve,AUCPI|EUHICPXT
ZeroInflationCapFloorVol,AUCPI|EUHICPXT
YoYInflationCapFloorVol,AUCPI|EUHICPXT
EquityCurves,FIGI:BBG00R251JN8|ISIN:GB0005405286:HKD:XHKG|RIC:.NDX|RIC:.SPX|RIC:.STOXX50|RIC:.STOXX50E|RIC:0005.HK|RIC:AMZN.O|RIC:CR.N|RIC:DHER.DE|RIC:LYV.N|RIC:MSFT.O|RIC:ON.O
EquityVols,ISIN:GB0005405286:HKD:XHKG|RIC:.NDX|RIC:.SPX|RIC:.STOXX50|RIC:.STOXX50E|RIC:0005.HK|RIC:DHER.DE|RIC:LYV.N|RIC:ON.O
Securities,CallableBond_CALL|CallableBond_PUT|CallableBond_PUTCALL|ISIN:DE000A3H2WP2|ISIN:IE00BH3SQ895|ISIN:IT0005177909|ISIN:US531229AR32|ISIN:US682189AS48|ISIN:US912828X703|ISIN:XS0983610930|SECURITY_1
CommodityCurves,ICE:B|NYMEX:A7Q|NYMEX:CL|NYMEX:NG|PM:XAUUSD|XLME:AH
CommodityVolatilities,ICE:B|NYMEX:CL|NYMEX:NG
Correlation,COMM-NYMEX:CL&COMM-ICE:B|EQ-RIC:.SPX&EQ-RIC:.NDX|EQ-RIC:.STOXX50E&EQ-RIC:.SPX|EUR-CMS-10Y&EUR-CMS-1Y|EUR-CMS-10Y&EUR-CMS-2Y|FX-GENERIC-EUR-CZK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-NOK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-NOK&FX-GENERIC-EUR-CZK|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-CHF|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-CZK|FX-GENERIC-EUR-SEK&FX-GENERIC-EUR-NOK|FX-GENERIC-EUR-USD&EQ-RIC:.SPX|FX-GENERIC-EUR-USD&EQ-RIC:.STOXX50E|FX-GENERIC-USD-CAD&FX-GENERIC-EUR-USD|FX-GENERIC-USD-JPY&FX-GENERIC-EUR-USD|FX-GENERIC-USD-SEK&FX-GENERIC-EUR-USD|FX-GENERIC-USD-SEK&FX-GENERIC-USD-CAD|USD-CMS-30Y&USD-CMS-2Y
YieldVol,BondOptionVols-EUR
