#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
Swap_20y,Swap,1,0,2025-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2024-06-10,2025-06-10,0.0000,#N/A,#N/A,10000000.0000,0.9662598144,193251.9628748594,1.0000000000,193251.9628748594,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,2,0,2026-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2025-06-10,2026-06-10,0.0000,#N/A,#N/A,10000000.0000,0.9395798218,187915.9643647164,1.0000000000,187915.9643647164,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,3,0,2027-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2026-06-10,2027-06-10,0.0000,#N/A,#N/A,10000000.0000,0.9163627957,183272.5591497504,1.0000000000,183272.5591497504,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,4,0,2028-06-12,Interest,201111.1111,EUR,0.0200000000,1.0055555556,2027-06-10,2028-06-12,0.0000,#N/A,#N/A,10000000.0000,0.8943227504,179858.2420169709,1.0000000000,179858.2420169709,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,5,0,2029-06-11,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2028-06-12,2029-06-11,0.0000,#N/A,#N/A,10000000.0000,0.8729900810,174113.0217117652,1.0000000000,174113.0217117652,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,6,0,2030-06-10,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2029-06-11,2030-06-10,0.0000,#N/A,#N/A,10000000.0000,0.8517719670,169881.1867442402,1.0000000000,169881.1867442402,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,7,0,2031-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2030-06-10,2031-06-10,0.0000,#N/A,#N/A,10000000.0000,0.8304343463,166086.8692634344,1.0000000000,166086.8692634344,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,8,0,2032-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2031-06-10,2032-06-10,0.0000,#N/A,#N/A,10000000.0000,0.8090199384,161803.9876784937,1.0000000000,161803.9876784937,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,9,0,2033-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2032-06-10,2033-06-10,0.0000,#N/A,#N/A,10000000.0000,0.7873843555,157476.8711005386,1.0000000000,157476.8711005386,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,10,0,2034-06-12,Interest,201111.1111,EUR,0.0200000000,1.0055555556,2033-06-10,2034-06-12,0.0000,#N/A,#N/A,10000000.0000,0.7657052683,153991.8372837249,1.0000000000,153991.8372837249,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,11,0,2035-06-11,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2034-06-12,2035-06-11,0.0000,#N/A,#N/A,10000000.0000,0.7442747622,148441.4664609834,1.0000000000,148441.4664609834,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,12,0,2036-06-10,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2035-06-11,2036-06-10,0.0000,#N/A,#N/A,10000000.0000,0.7230338436,144205.0832437162,1.0000000000,144205.0832437162,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,13,0,2037-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2036-06-10,2037-06-10,0.0000,#N/A,#N/A,10000000.0000,0.7023359499,140467.1899837662,1.0000000000,140467.1899837662,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,14,0,2038-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2037-06-10,2038-06-10,0.0000,#N/A,#N/A,10000000.0000,0.6822302305,136446.0460989718,1.0000000000,136446.0460989718,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,15,0,2039-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2038-06-10,2039-06-10,0.0000,#N/A,#N/A,10000000.0000,0.6627000760,132540.0152035102,1.0000000000,132540.0152035102,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,16,0,2040-06-11,Interest,200555.5556,EUR,0.0200000000,1.0027777778,2039-06-10,2040-06-11,0.0000,#N/A,#N/A,10000000.0000,0.6458916205,129537.1527836179,1.0000000000,129537.1527836179,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,17,0,2041-06-10,Interest,199444.4444,EUR,0.0200000000,0.9972222222,2040-06-11,2041-06-10,0.0000,#N/A,#N/A,10000000.0000,0.6296658781,125583.3612464831,1.0000000000,125583.3612464831,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,18,0,2042-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2041-06-10,2042-06-10,0.0000,#N/A,#N/A,10000000.0000,0.6138048457,122760.9691336291,1.0000000000,122760.9691336291,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,19,0,2043-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2042-06-10,2043-06-10,0.0000,#N/A,#N/A,10000000.0000,0.5983433463,119668.6692608893,1.0000000000,119668.6692608893,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,20,0,2044-06-10,Interest,200000.0000,EUR,0.0200000000,1.0000000000,2043-06-10,2044-06-10,0.0000,#N/A,#N/A,10000000.0000,0.5832305486,116646.1097279056,1.0000000000,116646.1097279056,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,1,1,2024-12-10,Interest,-190879.1667,EUR,0.0375500000,0.5083333333,2024-06-10,2024-12-10,0.0000,2024-06-06,0.0375500000,10000000.0000,0.9819899617,-187441.4255563230,1.0000000000,-187441.4255563230,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,2,1,2025-06-10,InterestProjected,-170883.9494,EUR,0.0338012208,0.5055555556,2024-12-10,2025-06-10,0.0000,2024-12-06,0.0338012208,10000000.0000,0.9662598144,-165118.2932062732,1.0000000000,-165118.2932062732,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,3,1,2025-12-10,InterestProjected,-155761.0819,EUR,0.0306415243,0.5083333333,2025-06-10,2025-12-10,0.0000,2025-06-06,0.0306415243,10000000.0000,0.9522416956,-148322.1967474663,1.0000000000,-148322.1967474663,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,4,1,2026-06-10,InterestProjected,-144801.8890,EUR,0.0286421319,0.5055555556,2025-12-10,2026-06-10,0.0000,2025-12-08,0.0286421319,10000000.0000,0.9395798218,-136052.9331086366,1.0000000000,-136052.9331086366,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,5,1,2026-12-10,InterestProjected,-135312.1998,EUR,0.0266187934,0.5083333333,2026-06-10,2026-12-10,0.0000,2026-06-08,0.0266187934,10000000.0000,0.9278634387,-125551.2429726291,1.0000000000,-125551.2429726291,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,6,1,2027-06-10,InterestProjected,-134456.2136,EUR,0.0265957346,0.5055555556,2026-12-10,2027-06-10,0.0000,2026-12-08,0.0265957346,10000000.0000,0.9163627957,-123210.6718425471,1.0000000000,-123210.6718425471,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,7,1,2027-12-10,InterestProjected,-129373.4624,EUR,0.0254505172,0.5083333333,2027-06-10,2027-12-10,0.0000,2027-06-08,0.0254505172,10000000.0000,0.9053312277,-117125.8355607740,1.0000000000,-117125.8355607740,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,8,1,2028-06-12,InterestProjected,-130664.9833,EUR,0.0254266994,0.5138888889,2027-12-10,2028-06-12,0.0000,2027-12-08,0.0254266994,10000000.0000,0.8943227504,-116856.6672070573,1.0000000000,-116856.6672070573,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,9,1,2028-12-11,InterestProjected,-127297.7207,EUR,0.0251797689,0.5055555556,2028-06-12,2028-12-11,0.0000,2028-06-08,0.0251797689,10000000.0000,0.8835921248,-112479.2634996573,1.0000000000,-112479.2634996573,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,10,1,2029-06-11,InterestProjected,-127297.7207,EUR,0.0251797689,0.5055555556,2028-12-11,2029-06-11,0.0000,2028-12-07,0.0251797689,10000000.0000,0.8729900810,-111129.6474875658,1.0000000000,-111129.6474875658,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,11,1,2029-12-10,InterestProjected,-129216.5836,EUR,0.0255593242,0.5055555556,2029-06-11,2029-12-10,0.0000,2029-06-07,0.0255593242,10000000.0000,0.8623163144,-111425.5681451660,1.0000000000,-111425.5681451660,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,12,1,2030-06-10,InterestProjected,-129227.1861,EUR,0.0255614214,0.5055555556,2029-12-10,2030-06-10,0.0000,2029-12-06,0.0255614214,10000000.0000,0.8517719670,-110072.0944726898,1.0000000000,-110072.0944726898,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,13,1,2030-12-10,InterestProjected,-131711.5283,EUR,0.0259104646,0.5083333333,2030-06-10,2030-12-10,0.0000,2030-06-06,0.0259104646,10000000.0000,0.8410078699,-110770.4318234299,1.0000000000,-110770.4318234299,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,14,1,2031-06-10,InterestProjected,-131006.5481,EUR,0.0259133831,0.5055555556,2030-12-10,2031-06-10,0.0000,2030-12-06,0.0259133831,10000000.0000,0.8304343463,-108792.3371415806,1.0000000000,-108792.3371415806,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,15,1,2031-12-10,InterestProjected,-134535.8066,EUR,0.0264660603,0.5083333333,2031-06-10,2031-12-10,0.0000,2031-06-06,0.0264660603,10000000.0000,0.8196587468,-110273.4506401308,1.0000000000,-110273.4506401308,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,16,1,2032-06-10,InterestProjected,-134566.8023,EUR,0.0264721578,0.5083333333,2031-12-10,2032-06-10,0.0000,2031-12-08,0.0264721578,10000000.0000,0.8090199384,-108867.2261405273,1.0000000000,-108867.2261405273,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,17,1,2032-12-10,InterestProjected,-137054.0331,EUR,0.0269614491,0.5083333333,2032-06-10,2032-12-10,0.0000,2032-06-08,0.0269614491,10000000.0000,0.7981038294,-109383.3486735966,1.0000000000,-109383.3486735966,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,18,1,2033-06-10,InterestProjected,-136355.3028,EUR,0.0269713786,0.5055555556,2032-12-10,2033-06-10,0.0000,2032-12-08,0.0269713786,10000000.0000,0.7873843555,-107364.0322186014,1.0000000000,-107364.0322186014,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,19,1,2033-12-12,InterestProjected,-141388.1231,EUR,0.0275133645,0.5138888889,2033-06-10,2033-12-12,0.0000,2033-06-08,0.0275133645,10000000.0000,0.7763833224,-109771.3807461329,1.0000000000,-109771.3807461329,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,20,1,2034-06-12,InterestProjected,-139124.3828,EUR,0.0275191087,0.5055555556,2033-12-12,2034-06-12,0.0000,2033-12-08,0.0275191087,10000000.0000,0.7657052683,-106528.2728657226,1.0000000000,-106528.2728657226,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,21,1,2034-12-11,InterestProjected,-141793.2710,EUR,0.0280470206,0.5055555556,2034-06-12,2034-12-11,0.0000,2034-06-08,0.0280470206,10000000.0000,0.7549146893,-107041.8231289702,1.0000000000,-107041.8231289702,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,22,1,2035-06-11,InterestProjected,-141793.2710,EUR,0.0280470206,0.5055555556,2034-12-11,2035-06-11,0.0000,2034-12-07,0.0280470206,10000000.0000,0.7442747622,-105533.1530629536,1.0000000000,-105533.1530629536,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,23,1,2035-12-10,InterestProjected,-141793.2710,EUR,0.0280470206,0.5055555556,2035-06-11,2035-12-10,0.0000,2035-06-07,0.0280470206,10000000.0000,0.7336070165,-104020.5385047711,1.0000000000,-104020.5385047711,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,24,1,2036-06-10,InterestProjected,-142577.8828,EUR,0.0280481081,0.5083333333,2035-12-10,2036-06-10,0.0000,2035-12-06,0.0280481081,10000000.0000,0.7230338436,-103088.6345977923,1.0000000000,-103088.6345977923,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,25,1,2036-12-10,InterestProjected,-141022.9931,EUR,0.0277422281,0.5083333333,2036-06-10,2036-12-10,0.0000,2036-06-06,0.0277422281,10000000.0000,0.7125815756,-100490.3865887152,1.0000000000,-100490.3865887152,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,26,1,2037-06-10,InterestProjected,-140229.9123,EUR,0.0277377849,0.5055555556,2036-12-10,2037-06-10,0.0000,2036-12-08,0.0277377849,10000000.0000,0.7023359499,-98488.5086875659,1.0000000000,-98488.5086875659,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,27,1,2037-12-10,InterestProjected,-141005.8133,EUR,0.0277388485,0.5083333333,2037-06-10,2037-12-10,0.0000,2037-06-08,0.0277388485,10000000.0000,0.6921825554,-97601.7641680357,1.0000000000,-97601.7641680357,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,28,1,2038-06-10,InterestProjected,-140229.9123,EUR,0.0277377849,0.5055555556,2037-12-10,2038-06-10,0.0000,2037-12-08,0.0277377849,10000000.0000,0.6822302305,-95669.0854152877,1.0000000000,-95669.0854152877,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,29,1,2038-12-10,InterestProjected,-141005.8133,EUR,0.0277388485,0.5083333333,2038-06-10,2038-12-10,0.0000,2038-06-08,0.0277388485,10000000.0000,0.6723674965,-94807.7256657008,1.0000000000,-94807.7256657008,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,30,1,2039-06-10,InterestProjected,-140229.9123,EUR,0.0277377849,0.5055555556,2038-12-10,2039-06-10,0.0000,2038-12-08,0.0277377849,10000000.0000,0.6627000760,-92930.3735650256,1.0000000000,-92930.3735650256,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,31,1,2039-12-12,InterestProjected,-124003.6151,EUR,0.0241304332,0.5138888889,2039-06-10,2039-12-12,0.0000,2039-06-08,0.0241304332,10000000.0000,0.6541606191,-81118.2816155980,1.0000000000,-81118.2816155980,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,32,1,2040-06-11,InterestProjected,-121679.9926,EUR,0.0240685700,0.5055555556,2039-12-12,2040-06-11,0.0000,2039-12-08,0.0240685700,10000000.0000,0.6458916205,-78592.0876237892,1.0000000000,-78592.0876237892,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,33,1,2040-12-10,InterestProjected,-121679.9926,EUR,0.0240685700,0.5055555556,2040-06-11,2040-12-10,0.0000,2040-06-07,0.0240685700,10000000.0000,0.6377271473,-77598.6345820159,1.0000000000,-77598.6345820159,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,34,1,2041-06-10,InterestProjected,-121679.9926,EUR,0.0240685700,0.5055555556,2040-12-10,2041-06-10,0.0000,2040-12-06,0.0240685700,10000000.0000,0.6296658781,-76617.7394067664,1.0000000000,-76617.7394067664,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,35,1,2041-12-10,InterestProjected,-122352.6376,EUR,0.0240693713,0.5083333333,2041-06-10,2041-12-10,0.0000,2041-06-06,0.0240693713,10000000.0000,0.6216630547,-76062.1144124796,1.0000000000,-76062.1144124796,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,36,1,2042-06-10,InterestProjected,-121679.9926,EUR,0.0240685700,0.5055555556,2041-12-10,2042-06-10,0.0000,2041-12-06,0.0240685700,10000000.0000,0.6138048457,-74687.7690954433,1.0000000000,-74687.7690954433,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,37,1,2042-12-10,InterestProjected,-122352.6376,EUR,0.0240693713,0.5083333333,2042-06-10,2042-12-10,0.0000,2042-06-06,0.0240693713,10000000.0000,0.6060036102,-74146.1400732551,1.0000000000,-74146.1400732551,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,38,1,2043-06-10,InterestProjected,-121679.9926,EUR,0.0240685700,0.5055555556,2042-12-10,2043-06-10,0.0000,2042-12-08,0.0240685700,10000000.0000,0.5983433463,-72806.4139668641,1.0000000000,-72806.4139668641,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_20y,Swap,39,1,2043-12-10,InterestProjected,-122352.6376,EUR,0.0240693713,0.5083333333,2043-06-10,2043-12-10,0.0000,2043-06-08,0.0240693713,10000000.0000,0.5907386208,-72278.4283638197,1.0000000000,-72278.4283638197,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
